,Unnamed: 0,Block and Lot Number,Property Location,Location,parcel,Building Inspection Division,Central Permit Bureau,Code Enforcement Section,Department Of Bldg Inspection,Department Of City Planning,Disabled Access Division,Electrical Inspection Division,Fire Prevention Bureau,Health Department,Help Desk / Technical Services,Housing Inspection Services,Major Plan Check Division,Other/outside Agency,Plumbing Inspection Division,Seismic Safety Section,annual routine,ca task force,complaint,hotel room-room insp,other,routine,num_items
0,0,1551051,0000 1725 ANZA                ST0000,"(37.7787266984196, -122.466805968567)",1551051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,37.0
1,2,1053011,2562 2558 SUTTER              ST0000,"(37.7851943530233, -122.442546803931)",1053011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2,3,0087013,0000 1654 GRANT               AV0000,"(37.8023458331673, -122.407723330705)",0087013,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
3,5,4078017,0707 0705 HAMPSHIRE           ST0000,"(37.7602442525718, -122.407717167359)",4078017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
4,14,1166007,2622 2620 MCALLISTER          ST0000,"(37.7758429805692, -122.455397897246)",1166007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
5,18,6014001,0000 0044 EXCELSIOR           AV0000,"(37.7258898471011, -122.433181548113)",6014001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
6,19,1553025,0580 0578 11TH                AV0000,"(37.7774254994434, -122.46906278044)",1553025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
7,20,1626008,0697 0691 18TH                AV0000,"(37.7750175451235, -122.477023789847)",1626008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,20.0
8,23,3579031,3641 3639 17TH                ST0000,"(37.7627406916924, -122.427186514567)",3579031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
9,24,6944002,0267 0265 LEE                 AV0000,"(37.7230652941611, -122.454427983985)",6944002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0
10,25,1591005K,4730 4728 BALBOA              ST0000,"(37.7753986747534, -122.509653995607)",1591005K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0
11,26,3637062,0705 0703 CAPP                ST0000,"(37.7551771385856, -122.41730951763)",3637062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,28,6688038,0000 0050 HIGHLAND            AV0000,"(37.7371405086156, -122.424544997693)",6688038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
13,32,1546015,0577 0575 03RD                AV0000,"(37.7778779438855, -122.461168590187)",1546015,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
14,34,2828017,4472 4470 24TH                ST0000,"(37.7509758204576, -122.44228029566)",2828017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
15,35,1758039,1302 1300 04TH                AV0000,"(37.7641430933396, -122.46066287452)",1758039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0
16,37,1716022,3328 3326 IRVING              ST0000,"(37.7630783382526, -122.493709217853)",1716022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0
17,39,0656001,0000 1945 PIERCE              ST0000,"(37.7882056903687, -122.437237877381)",0656001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,,,0.0
18,41,1074010,2524 2522 POST                ST0000,"(37.7840723872377, -122.443457130507)",1074010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,42,0868031,0000 0046 GERMANIA            ST0000,"(37.7709204657228, -122.429322853055)",0868031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
20,43,0597002,1743 1739 LARKIN              ST0000,"(37.7940162664092, -122.419957373006)",0597002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
21,44,0217015,1620 1616 LARKIN              ST0000,"(37.7929432545835, -122.419111389214)",0217015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
22,46,1749020,1220 1218 02ND                AV0000,"(37.7659133659606, -122.458637168684)",1749020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0
