,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
0,113,0710C065,0000 0001 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C065,1
1,116,0710C072,0000 0015 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C072,1
2,127,0710C046,0000 1465 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C046,1
3,177,0711C036,0000 0085 CLEARY              CT0012,"(37.7835963351412, -122.42679775829)",0711C036,1
4,191,4031025,0000 0699 RHODE ISLAND        ST0000,"(37.7610639506831, -122.401902607992)",4031025,1
5,203,3785167,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785167,1
6,217,0710C099,0000 0065 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C099,1
7,253,6631032,0469 0467 29TH                ST0000,"(37.7432348818917, -122.43026865728)",6631032,1
8,295,5295001,0000 1501 LA SALLE            AV0000,"(37.7352937983912, -122.387090729238)",5295001,1
9,318,1288015A,4968 4966 17TH                ST0000,"(37.761638689164, -122.451778800852)",1288015A,1
10,332,0710C021,0000 1555 GEARY                 0003,"(37.7842359166421, -122.428680459592)",0710C021,1
11,340,3546021,0475 0473 14TH                ST0000,"(37.7677752483522, -122.423740902711)",3546021,1
12,364,0711C006,0000 0045 CLEARY              CT0006,"(37.7835963351412, -122.42679775829)",0711C006,1
13,373,3779094,0000 0023 BOARDMAN            PL0000,"(37.7749634621484, -122.403011928951)",3779094,2
14,509,0710C055,0000 0045 LOTTIE BEN            0001,"(37.7842359166421, -122.428680459592)",0710C055,1
15,512,0711C038,0000 1220 ELLIS               ST0002,"(37.7835963351412, -122.42679775829)",0711C038,1
16,514,1252020,0000 1850 BELVEDERE           ST0000,"(37.7671934669515, -122.44942238024)",1252020,1
17,551,0778008,1052 1048 FULTON              ST0000,"(37.7776657446843, -122.434093183793)",0778008,1
18,563,3582020,4026 4024 18TH                ST0000,"(37.7612088184596, -122.433428176686)",3582020,1
19,582,0710C086,0000 0045 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C086,1
20,724,3620010,0000 3628 22ND                ST0000,"(37.7550906777904, -122.428562471513)",3620010,1
21,748,0858008,0242 0240 WALLER              ST0000,"(37.7717554337029, -122.427753995918)",0858008,1
22,807,3785151,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785151,1
23,808,0471001G,1427 1425 BAY                 ST0000,"(37.8032251581002, -122.430500538335)",0471001G,1
24,846,3785182,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785182,1
25,873,3785149,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785149,1
26,883,6753001,0461 0459 BOSWORTH            ST0000,"(37.7330021379454, -122.431320203854)",6753001,1
27,898,2712010,0435 0433 CORBETT             AV0000,"(37.7581071260177, -122.445402210878)",2712010,1
28,902,0710C009,0000 0020 BERTIE MINOR          0003,"(37.7842359166421, -122.428680459592)",0710C009,1
29,914,6011001,0128 0126 LISBON              ST0000,"(37.7263274877134, -122.43067169345)",6011001,1
30,938,6565004,1414 1412 CHURCH              ST0000,"(37.7481195557672, -122.427370767337)",6565004,1
31,983,5835070,4077 4075 MISSION             ST0000,"(37.7323413724831, -122.427305921031)",5835070,1
32,998,4710050,0005 0001 DUKES               CT0000,"(37.737069057698, -122.386939037061)",4710050,1
33,1008,1023018,3062 3060 CALIFORNIA          ST0000,"(37.7878017193781, -122.444846945412)",1023018,1
34,1061,6518029,0000 3225 24TH                ST0000,"(37.752151353792, -122.416880976549)",6518029,1
35,1194,0710C032,0000 1445 LAGUNA                0002,"(37.7842359166421, -122.428680459592)",0710C032,1
36,1216,5988019,0000 0320 HAMILTON            ST0000,"(37.72676845039, -122.410158833297)",5988019,1
37,1232,1267010,1120 1100 CARL                ST0000,"(37.766015422199, -122.450518393593)",1267010,1
38,1313,0710C056,0000 0045 LOTTIE BEN            0002,"(37.7842359166421, -122.428680459592)",0710C056,1
39,1327,0710C003,0000 0010 BERTIE MINOR          0003,"(37.7842359166421, -122.428680459592)",0710C003,1
40,1329,0710C081,0000 0035 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C081,1
41,1349,0830025,0537 0535 FELL                ST0000,"(37.7752528952418, -122.426678514025)",0830025,1
42,1362,0710C017,0000 1545 GEARY                 0005,"(37.7842359166421, -122.428680459592)",0710C017,1
43,1392,3554035,0000 0160 JULIAN              AV0000,"(37.7656174419412, -122.421240344839)",3554035,1
44,1427,0153027,1399 1397 VALLEJO             ST0000,"(37.796940871953, -122.420126189019)",0153027,1
45,1452,0710C103,0000 0075 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C103,1
46,1628,2801009,4418 4416 23RD                ST0000,"(37.7527124814296, -122.441282056981)",2801009,1
47,1638,0818028,0422 0420 LINDEN              ST0000,"(37.7762671050225, -122.425009693913)",0818028,1
48,1640,3564048,0078 0076 PROSPER             ST0000,"(37.763108303006, -122.431755723298)",3564048,1
49,1765,3525034,0223 0219 DORE                ST0000,"(37.7718738094474, -122.410149988764)",3525034,1
50,1853,1267056,4330 4310 FREDERICK           ST0000,"(37.7663348778681, -122.451020830756)",1267056,1
51,1922,0710C105,0000 0075 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C105,1
52,1970,1540025,0000 1344 ANZA                ST0000,"(37.7793996134014, -122.462814270568)",1540025,1
53,2013,0976005,0000 2904 JACKSON             ST0000,"(37.7916115374379, -122.443150435491)",0976005,1
54,2056,0054008,0000 0320 CHESTNUT            ST0000,"(37.8044927821741, -122.40875268805)",0054008,1
55,2096,0710C107,0000 0075 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C107,1
56,2230,1222026,1579 1575 OAK                 ST0000,"(37.7719056429057, -122.445184584012)",1222026,1
57,2289,0710C101,0000 0065 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C101,1
58,2292,0711C051,0000 1250 ELLIS               ST0003,"(37.7835963351412, -122.42679775829)",0711C051,1
59,2337,3785179,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785179,1
60,2367,0478002A,0000 2821 POLK                ST0000,"(37.8028146357738, -122.423471398433)",0478002A,1
61,2407,0710C097,0000 0065 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C097,1
62,2415,3785176,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785176,1
63,2416,2630012,1153 1151 STANYAN             ST0000,"(37.763283248076, -122.452636809752)",2630012,1
64,2434,4263020,2529 2525 24TH                ST0000,"(37.752861548305, -122.404867460665)",4263020,1
65,2469,0975009,3062 3060 JACKSON             ST0000,"(37.7913394570707, -122.445543964337)",0975009,1
66,2521,0710C034,0000 1445 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C034,1
