,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,Violation Number,correct - no permit,obtain permit,stop all work,abated,closed,open,referred to hearing,rescinded
0,39,0656001,0000 1945 PIERCE              ST0000,"(37.7882056903687, -122.437237877381)",0656001,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,84,0047C106,0000 1080 CHESTNUT            ST0002A,"(37.8030477584271, -122.421074450669)",0047C106,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
2,91,0252C026,0000 1201 CALIFORNIA          ST0502,"(37.7910768180755, -122.41433878109)",0252C026,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
3,110,0047C146,0000 1080 CHESTNUT            ST0012A,"(37.8030477584271, -122.421074450669)",0047C146,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
4,118,1189019,2081 2077 FULTON              ST0000,"(37.7750077769465, -122.450867396064)",1189019,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,124,0145028,0076 0072 FRESNO              ST0000,"(37.7986106983997, -122.406767571106)",0145028,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,139,0222C001,0000 1190 SACRAMENTO          ST0002,"(37.7926793732201, -122.412454123762)",0222C001,11,11.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0
7,144,0252C013,0000 1201 CALIFORNIA          ST0302,"(37.7910768180755, -122.41433878109)",0252C013,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
8,158,0652012,0000 2148 PINE                ST0000,"(37.7885485731958, -122.4311949217)",0652012,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,160,0071C205,0000 2250 HYDE                ST0006,"(37.8017461522948, -122.419354966012)",0071C205,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,168,3638020,3136 3132 23RD                ST0000,"(37.7541819994926, -122.415061164843)",3638020,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
11,187,0047C120,0000 1080 CHESTNUT            ST0005C,"(37.8030477584271, -122.421074450669)",0047C120,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
12,224,0215C097,0000 1333 JONES               ST1406,"(37.7936210279681, -122.414882373554)",0215C097,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
13,249,0252C073,0000 1201 CALIFORNIA          ST1501,"(37.7910768180755, -122.41433878109)",0252C073,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
14,262,0247C054,0000 1200 CALIFORNIA          ST0018A,"(37.7916717343982, -122.414524564497)",0247C054,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
15,287,0215C114,0000 1333 JONES               ST1602,"(37.7936210279681, -122.414882373554)",0215C114,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
16,314,0540C013,0000 2100 GREEN               ST0504,"(37.7965785554442, -122.434007636828)",0540C013,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,323,0770027,0000 0735 GOUGH               ST0000,"(37.7799361034575, -122.425238963855)",0770027,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
18,353,0047C118,0000 1080 CHESTNUT            ST0005A,"(37.8030477584271, -122.421074450669)",0047C118,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
19,421,3542007,2136 2134 MARKET              ST0000,"(37.7671935965718, -122.429875493944)",3542007,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20,435,0215C083,0000 1333 JONES               ST1202,"(37.7936210279681, -122.414882373554)",0215C083,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
21,437,0128C074,0000 1750 TAYLOR              ST2303,"(37.7985288032275, -122.413274223265)",0128C074,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
22,449,0252C062,0000 1201 CALIFORNIA          ST1104,"(37.7910768180755, -122.41433878109)",0252C062,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
23,463,0128C031,0000 1750 TAYLOR              ST0904,"(37.7985288032275, -122.413274223265)",0128C031,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
24,517,0540C002,0000 2100 GREEN               ST0104,"(37.7965785554442, -122.434007636828)",0540C002,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,584,0247C043,0000 1200 CALIFORNIA          ST0015B,"(37.7916717343982, -122.414524564497)",0247C043,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
26,617,0047C129,0000 1080 CHESTNUT            ST0007D,"(37.8030477584271, -122.421074450669)",0047C129,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
27,633,0215C017,0000 1333 JONES               ST0507,"(37.7936210279681, -122.414882373554)",0215C017,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
28,661,0215C061,0000 1333 JONES               ST1001,"(37.7936210279681, -122.414882373554)",0215C061,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
29,676,0047C108,0000 1080 CHESTNUT            ST0002C,"(37.8030477584271, -122.421074450669)",0047C108,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
30,723,5306018,0000 1651 MCKINNON            AV0000,"(37.7365208381678, -122.390927956249)",5306018,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,743,0247C007,0000 1200 CALIFORNIA          ST0005B,"(37.7916717343982, -122.414524564497)",0247C007,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
32,912,0128C009,0000 1750 TAYLOR              ST0402,"(37.7985288032275, -122.413274223265)",0128C009,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
33,947,0215C046,0000 1333 JONES               ST0806,"(37.7936210279681, -122.414882373554)",0215C046,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
34,980,0252C077,0000 1201 CALIFORNIA          ST1602,"(37.7910768180755, -122.41433878109)",0252C077,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
35,988,0247C069,0000 1200 CALIFORNIA          ST0021D,"(37.7916717343982, -122.414524564497)",0247C069,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
36,1045,0252C031,0000 1201 CALIFORNIA          ST0507,"(37.7910768180755, -122.41433878109)",0252C031,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
37,1138,0215C062,0000 1333 JONES               ST1002,"(37.7936210279681, -122.414882373554)",0215C062,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
38,1156,0247C059,0000 1200 CALIFORNIA          ST0019B,"(37.7916717343982, -122.414524564497)",0247C059,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
39,1163,0098C002,0000 1020 UNION               ST0002,"(37.8000299152147, -122.416271336736)",0098C002,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,1166,0298C019,0000 0666 POST                ST0604,"(37.78790571895, -122.412900793831)",0298C019,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,1168,0047C128,0000 1080 CHESTNUT            ST0007C,"(37.8030477584271, -122.421074450669)",0047C128,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
42,1174,1537021,0000 1656 ANZA                ST0000,"(37.779150833762, -122.466039412449)",1537021,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
43,1188,0128C023,0000 1750 TAYLOR              ST0704,"(37.7985288032275, -122.413274223265)",0128C023,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
44,1209,0195024,0055 0049 COLUMBUS            AV0000,"(37.7958921359463, -122.404373955067)",0195024,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,1247,0215C004,0000 1333 JONES               ST0404,"(37.7936210279681, -122.414882373554)",0215C004,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
46,1276,0716012,0000 0000                       0000,"(37.7852961922643, -122.419013759553)",0716012,23,21.0,0.0,0.0,11.0,8.0,0.0,4.0,0.0
47,1282,0128C075,0000 1750 TAYLOR              ST01/2,"(37.7985288032275, -122.413274223265)",0128C075,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
48,1316,0252C018,0000 1201 CALIFORNIA          ST0401,"(37.7910768180755, -122.41433878109)",0252C018,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
49,1331,0215C072,0000 1333 JONES               ST1101,"(37.7936210279681, -122.414882373554)",0215C072,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
50,1356,0579C013,0000 2100 PACIFIC             AV0007A,"(37.7942268795735, -122.430095354673)",0579C013,16,11.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0
51,1361,4087017,2702 2700 21ST                ST0000,"(37.7578601725695, -122.408818164714)",4087017,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,1393,0336004,0422 0416 TURK                ST0000,"(37.7827099674225, -122.416202486341)",0336004,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
53,1419,0298C037,0000 0666 POST                ST1102,"(37.78790571895, -122.412900793831)",0298C037,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,1456,0094C015,0000 2164 HYDE                ST0816,"(37.8009123308796, -122.419097249198)",0094C015,10,7.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0
55,1487,6506042A,4123 4119 24TH                ST0000,"(37.75102097763, -122.434611953811)",6506042A,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,1523,0215C091,0000 1333 JONES               ST1210,"(37.7936210279681, -122.414882373554)",0215C091,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
57,1541,6732038,0343 0341 SURREY              ST0000,"(37.7356916253598, -122.43765177982)",6732038,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
58,1543,0252C039,0000 1201 CALIFORNIA          ST0702,"(37.7910768180755, -122.41433878109)",0252C039,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
59,1544,0215C015,0000 1333 JONES               ST0505,"(37.7936210279681, -122.414882373554)",0215C015,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60,1591,0071C202,0000 2250 HYDE                ST0003,"(37.8017461522948, -122.419354966012)",0071C202,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,1607,0247C098,0000 1200 CALIFORNIA            MR10,"(37.7916717343982, -122.414524564497)",0247C098,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
62,1611,0934009A,0000 3036 BAKER               ST0000,"(37.7991888606708, -122.445815130239)",0934009A,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,1624,0252C034,0000 1201 CALIFORNIA          ST0603,"(37.7910768180755, -122.41433878109)",0252C034,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
64,1627,0047C130,0000 1080 CHESTNUT            ST0008A,"(37.8030477584271, -122.421074450669)",0047C130,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
65,1647,0215C107,0000 1333 JONES               ST1505,"(37.7936210279681, -122.414882373554)",0215C107,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
66,1655,0247C076,0000 1200 CALIFORNIA          ST0023C,"(37.7916717343982, -122.414524564497)",0247C076,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
67,1672,0247C053,0000 1200 CALIFORNIA          ST0017D,"(37.7916717343982, -122.414524564497)",0247C053,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
68,1683,0298C043,0000 0666 POST                ST1204,"(37.78790571895, -122.412900793831)",0298C043,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,1735,0047C109,0000 1080 CHESTNUT            ST0002D,"(37.8030477584271, -122.421074450669)",0047C109,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
70,1739,0247C005,0000 1200 CALIFORNIA          ST0004D,"(37.7916717343982, -122.414524564497)",0247C005,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
71,1769,0247C004,0000 1200 CALIFORNIA          ST0004C,"(37.7916717343982, -122.414524564497)",0247C004,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
72,1780,0247C079,0000 1200 CALIFORNIA          ST0024B,"(37.7916717343982, -122.414524564497)",0247C079,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
73,1830,1452035,0336 0334 21ST                AV0000,"(37.7815376871596, -122.480209858855)",1452035,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
74,1834,0247C073,0000 1200 CALIFORNIA          ST0022D,"(37.7916717343982, -122.414524564497)",0247C073,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
75,1861,0252C029,0000 1201 CALIFORNIA          ST0505,"(37.7910768180755, -122.41433878109)",0252C029,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
76,1969,0215C113,0000 1333 JONES               ST1601,"(37.7936210279681, -122.414882373554)",0215C113,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
77,1975,0580C305,0000 2121 BROADWAY              0005,"(37.7942980253598, -122.432372713755)",0580C305,7,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
78,2030,0128C051,0000 1750 TAYLOR              ST1601,"(37.7985288032275, -122.413274223265)",0128C051,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
79,2034,0215C026,0000 1333 JONES               ST0606,"(37.7936210279681, -122.414882373554)",0215C026,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
80,2094,0128C071,0000 1750 TAYLOR              ST2203,"(37.7985288032275, -122.413274223265)",0128C071,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
81,2161,5550017A,0000 0242 RIPLEY              ST0000,"(37.7441466087175, -122.409671266129)",5550017A,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
82,2219,0098C027,0000 1020 UNION               ST0028,"(37.8000299152147, -122.416271336736)",0098C027,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,2224,0215C096,0000 1333 JONES               ST1405,"(37.7936210279681, -122.414882373554)",0215C096,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
84,2250,0252C037,0000 1201 CALIFORNIA          ST0606,"(37.7910768180755, -122.41433878109)",0252C037,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
85,2252,4336004,0000 2840 BRYANT              ST0000,"(37.7489448265575, -122.409082301289)",4336004,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
86,2259,0247C089,0000 1200 CALIFORNIA          ST0026D,"(37.7916717343982, -122.414524564497)",0247C089,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
87,2361,3611037,0634 0632 SHOTWELL            ST0000,"(37.7582156758915, -122.416038132481)",3611037,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,2388,0298C051,0000 0666 POST                ST1504,"(37.78790571895, -122.412900793831)",0298C051,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,2394,0579C016,0000 2100 PACIFIC             AV0008B,"(37.7942268795735, -122.430095354673)",0579C016,16,11.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0
90,2418,0128C011,0000 1750 TAYLOR              ST0404,"(37.7985288032275, -122.413274223265)",0128C011,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
91,2467,0097C010,0000 1100 UNION               ST0601,"(37.7996601729614, -122.417684118265)",0097C010,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,2494,1042001,0107 0101 MAYFAIR             DR0000,"(37.7857144090629, -122.452319652315)",1042001,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,2522,0247C017,0000 1200 CALIFORNIA          ST0007D,"(37.7916717343982, -122.414524564497)",0247C017,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
94,2536,0215C031,0000 1333 JONES               ST0701,"(37.7936210279681, -122.414882373554)",0215C031,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
95,2538,0047C147,0000 1080 CHESTNUT            ST0012B,"(37.8030477584271, -122.421074450669)",0047C147,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
96,2547,0247C022,0000 1200 CALIFORNIA          ST0009A,"(37.7916717343982, -122.414524564497)",0247C022,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
97,2702,0128C068,0000 1750 TAYLOR              ST2103,"(37.7985288032275, -122.413274223265)",0128C068,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
98,2710,0094C014,0000 2164 HYDE                ST0715,"(37.8009123308796, -122.419097249198)",0094C014,10,7.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0
99,2715,5615061,0082 0080 COLERIDGE           ST0000,"(37.744547228491, -122.419402145221)",5615061,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,2724,0215C099,0000 1333 JONES               ST1408,"(37.7936210279681, -122.414882373554)",0215C099,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
101,2738,0215C084,0000 1333 JONES               ST1203,"(37.7936210279681, -122.414882373554)",0215C084,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
102,2834,0247C087,0000 1200 CALIFORNIA          STBM12,"(37.7916717343982, -122.414524564497)",0247C087,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
103,2861,0298C054,0000 0666 POST                ST1604,"(37.78790571895, -122.412900793831)",0298C054,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,3001,0128C039,0000 1750 TAYLOR              ST1201,"(37.7985288032275, -122.413274223265)",0128C039,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
105,3028,0247C045,0000 1200 CALIFORNIA          ST0015D,"(37.7916717343982, -122.414524564497)",0247C045,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
106,3207,1158028,0000 0758 LYON                ST0000,"(37.7779375104565, -122.443180793194)",1158028,5,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0
107,3254,0247C080,0000 1200 CALIFORNIA          ST0024C,"(37.7916717343982, -122.414524564497)",0247C080,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
108,3317,0215C063,0000 1333 JONES               ST1003A,"(37.7936210279681, -122.414882373554)",0215C063,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
109,3335,0215C002,0000 1333 JONES               ST0402,"(37.7936210279681, -122.414882373554)",0215C002,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
110,3360,1530009C,0449 0447 14TH                AV0000,"(37.779641776117, -122.473152774231)",1530009C,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
111,3390,0298C038,0000 0666 POST                ST1103,"(37.78790571895, -122.412900793831)",0298C038,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,3466,0247C058,0000 1200 CALIFORNIA          ST0019A,"(37.7916717343982, -122.414524564497)",0247C058,4,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
113,3487,2633006,0000 0333 PARNASSUS           AV0000,"(37.7639657654187, -122.45531235579)",2633006,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
114,3537,0298C024,0000 0666 POST                ST0801,"(37.78790571895, -122.412900793831)",0298C024,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,3550,0047C149,0000 1080 CHESTNUT            ST0013B,"(37.8030477584271, -122.421074450669)",0047C149,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
116,3560,0540C015,0000 2100 GREEN               ST0602,"(37.7965785554442, -122.434007636828)",0540C015,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,3597,0215C067,0000 1333 JONES               ST1006,"(37.7936210279681, -122.414882373554)",0215C067,6,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
118,3605,3595033,0416 0412 CAPP                ST0000,"(37.7599736868682, -122.418372126894)",3595033,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
119,3677,0298C055,0000 0666 POST                ST1700,"(37.78790571895, -122.412900793831)",0298C055,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,3686,0128C043,0000 1750 TAYLOR              ST1302,"(37.7985288032275, -122.413274223265)",0128C043,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
121,3707,0128C062,0000 1750 TAYLOR              ST1903,"(37.7985288032275, -122.413274223265)",0128C062,9,7.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
122,3713,0047C104,0000 1080 CHESTNUT            ST0001F,"(37.8030477584271, -122.421074450669)",0047C104,12,9.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0
