,Block and Lot Number,Property Location,Location
0,1551051,0000 1725 ANZA                ST0000,"(37.7787266984196, -122.466805968567)"
1,0661002A,0000 1931 BUCHANAN            ST0000,"(37.7879008244665, -122.43054986145)"
2,1053011,2562 2558 SUTTER              ST0000,"(37.7851943530233, -122.442546803931)"
3,0087013,0000 1654 GRANT               AV0000,"(37.8023458331673, -122.407723330705)"
4,4151012,2806 2802 23RD                ST0000,"(37.7546171526199, -122.408588831795)"
5,4078017,0707 0705 HAMPSHIRE           ST0000,"(37.7602442525718, -122.407717167359)"
6,6511003,0324 0322 FAIR OAKS           ST0000,"(37.7514224013754, -122.424237638467)"
7,5410019,0064 0062 WILLIAMS            AV0000,"(37.7297575657236, -122.394270640483)"
8,1845029,1466 1464 09TH                AV0000,"(37.7609497422224, -122.465765827093)"
9,1731037,0000 1238 20TH                AV0000,"(37.7646362745556, -122.477942577829)"
10,1426006,0233 0231 07TH                AV0000,"(37.7841106257632, -122.465909971543)"
11,0535015,2926 2924 PIERCE              ST0000,"(37.7971203271239, -122.438508918907)"
12,1619024C,0000 0716 26TH                AV0000,"(37.7758832319942, -122.485228881607)"
13,1672038,2821 2819 CABRILLO            ST0000,"(37.7739773494734, -122.488997102326)"
14,1166007,2622 2620 MCALLISTER          ST0000,"(37.7758429805692, -122.455397897246)"
15,1864029,1588 1586 19TH                AV0000,"(37.7582677287016, -122.476418329815)"
16,1839022H,0955 0947 JUDAH               ST0000,"(37.7617437994955, -122.472395308684)"
17,0803019,0000 0714 STEINER             ST0000,"(37.7761915075675, -122.432704068076)"
18,6014001,0000 0044 EXCELSIOR           AV0000,"(37.7258898471011, -122.433181548113)"
19,1553025,0580 0578 11TH                AV0000,"(37.7774254994434, -122.46906278044)"
20,1626008,0697 0691 18TH                AV0000,"(37.7750175451235, -122.477023789847)"
21,0528004,1634 1632 UNION               ST0000,"(37.798544805756, -122.426298268948)"
22,6527015A,3334 3332 26TH                ST0000,"(37.7493063988786, -122.416658613828)"
23,3579031,3641 3639 17TH                ST0000,"(37.7627406916924, -122.427186514567)"
24,6944002,0267 0265 LEE                 AV0000,"(37.7230652941611, -122.454427983985)"
25,1591005K,4730 4728 BALBOA              ST0000,"(37.7753986747534, -122.509653995607)"
